"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 15:15:21 IST 2024","Thu Jan 18 15:15:21 IST 2024","50","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","And click on the profile pic",""
"passed","Thu Jan 18 15:15:21 IST 2024","Thu Jan 18 15:15:21 IST 2024","32","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","Then I can see the employee name",""
"passed","Thu Jan 18 15:15:29 IST 2024","Thu Jan 18 15:15:30 IST 2024","1598","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","Then I click on the three dots",""
"passed","Thu Jan 18 15:15:15 IST 2024","Thu Jan 18 15:15:17 IST 2024","1780","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","Then I can see the PIM button",""
"passed","Thu Jan 18 15:15:26 IST 2024","Thu Jan 18 15:15:28 IST 2024","1724","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","Then I can see the Buzz button",""
"passed","Thu Jan 18 15:15:09 IST 2024","Thu Jan 18 15:15:09 IST 2024","121","","This is orangehrm website: As a Admin,I can login into a secure area.","","","","And click on the profile pic",""
"passed","Thu Jan 18 15:15:14 IST 2024","Thu Jan 18 15:15:15 IST 2024","874","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","When I am login with valid username and passsword",""
"passed","Thu Jan 18 15:15:11 IST 2024","Thu Jan 18 15:15:12 IST 2024","841","","This is orangehrm website: As a Admin,I can login into a secure area.","","","","",""
"passed","Thu Jan 18 15:15:06 IST 2024","Thu Jan 18 15:15:07 IST 2024","869","","This is orangehrm website: As a Admin,I can login into a secure area.","","","","When I am login with valid username and passsword",""
"passed","Thu Jan 18 15:15:31 IST 2024","Thu Jan 18 15:15:32 IST 2024","399","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","And click on the profile pic",""
"passed","Thu Jan 18 15:15:22 IST 2024","Thu Jan 18 15:15:23 IST 2024","809","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","",""
"passed","Thu Jan 18 15:15:03 IST 2024","Thu Jan 18 15:15:06 IST 2024","2878","","This is orangehrm website: As a Admin,I can login into a secure area.","","","","Given I am on the login page",""
"passed","Thu Jan 18 15:15:17 IST 2024","Thu Jan 18 15:15:18 IST 2024","1383","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","When I click on that buttonn I have navigated to PIM page",""
"passed","Thu Jan 18 15:15:21 IST 2024","Thu Jan 18 15:15:22 IST 2024","774","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","Then click on the logout button",""
"passed","Thu Jan 18 15:15:12 IST 2024","Thu Jan 18 15:15:14 IST 2024","2748","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","Given I am on the login page",""
"passed","Thu Jan 18 15:15:18 IST 2024","Thu Jan 18 15:15:21 IST 2024","2730","","This is orangehrm website: As a Admin,I can click on the PIM button and add the employee.","","","","Then I can add an employee",""
"passed","Thu Jan 18 15:15:26 IST 2024","Thu Jan 18 15:15:26 IST 2024","835","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","When I am login with valid username and passsword",""
"passed","Thu Jan 18 15:15:09 IST 2024","Thu Jan 18 15:15:11 IST 2024","1820","","This is orangehrm website: As a Admin,I can login into a secure area.","","","","Then click on the logout button",""
"passed","Thu Jan 18 15:15:30 IST 2024","Thu Jan 18 15:15:31 IST 2024","551","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","Then I can see the edit post button",""
"passed","Thu Jan 18 15:15:32 IST 2024","Thu Jan 18 15:15:32 IST 2024","818","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","Then click on the logout button",""
"passed","Thu Jan 18 15:15:31 IST 2024","Thu Jan 18 15:15:31 IST 2024","307","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","And I click on it, It will open the post for edit",""
"passed","Thu Jan 18 15:15:32 IST 2024","Thu Jan 18 15:15:33 IST 2024","851","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","",""
"passed","Thu Jan 18 15:15:23 IST 2024","Thu Jan 18 15:15:26 IST 2024","2844","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","Given I am on the login page",""
"passed","Thu Jan 18 15:15:28 IST 2024","Thu Jan 18 15:15:29 IST 2024","605","","This is orangehrm website: As a admin,I can click the Buzz option and edit the post.","","","","When I click on that button I have navigated to Buzz page",""
"passed","Thu Jan 18 15:15:07 IST 2024","Thu Jan 18 15:15:09 IST 2024","1814","","This is orangehrm website: As a Admin,I can login into a secure area.","","","","Then I should navigate to home page",""
